This file was created using the 202605 Bloomberg database.

Missing data are indicated by -99.99.



,WML
19951212    ,0.18
19951213    ,0.27
19951214   ,-0.26
19951215   ,-0.29
19951218   ,-0.39
19951219   ,-0.43
19951220    ,0.41
19951221    ,0.00
19951222   ,-0.33
19951225    ,0.01
19951226    ,0.04
19951227   ,-0.23
19951228   ,-0.17
19951229    ,0.15
19960101   ,-0.06
19960102   ,-0.52
19960103    ,0.27
19960104   ,-0.08
19960105    ,0.04
19960108   ,-0.38
19960109   ,-0.27
19960110   ,-0.48
19960111    ,0.20
19960112    ,0.14
19960115   ,-0.07
19960116   ,-0.10
19960117   ,-0.04
19960118   ,-0.06
19960119   ,-0.37
19960122    ,0.32
19960123    ,0.10
19960124    ,0.32
19960125    ,0.42
19960126   ,-0.07
19960129   ,-0.12
19960130   ,-0.61
19960131   ,-0.09
19960201   ,-0.42
19960202   ,-0.12
19960205    ,0.02
19960206    ,0.07
19960207    ,0.02
19960208   ,-0.15
19960209    ,0.09
19960212    ,0.26
19960213    ,0.25
19960214    ,0.64
19960215    ,0.07
19960216    ,0.35
19960219    ,0.11
19960220    ,0.15
19960221    ,0.37
19960222    ,0.23
19960223    ,0.00
19960226    ,0.13
19960227   ,-0.20
19960228    ,0.13
19960229   ,-0.22
19960301   ,-0.11
19960304   ,-0.23
19960305   ,-0.01
19960306    ,0.15
19960307    ,0.95
19960308    ,0.06
19960311   ,-0.52
19960312    ,0.34
19960313   ,-0.12
19960314    ,0.04
19960315    ,0.13
19960318    ,0.19
19960319    ,0.36
19960320    ,0.22
19960321    ,0.53
19960322    ,0.41
19960325    ,0.11
19960326   ,-0.21
19960327    ,0.12
19960328   ,-0.11
19960329   ,-0.04
19960401    ,0.07
19960402    ,0.02
19960403   ,-0.08
19960404    ,0.01
19960405    ,0.07
19960408   ,-0.10
19960409   ,-0.14
19960410   ,-0.22
19960411    ,0.07
19960412   ,-0.28
19960415    ,0.19
19960416    ,0.07
19960417    ,0.07
19960418   ,-0.04
19960419   ,-0.07
19960422   ,-0.43
19960423    ,0.06
19960424   ,-0.13
19960425    ,0.07
19960426    ,0.06
19960429    ,0.18
19960430   ,-0.03
19960501    ,0.00
19960502    ,0.12
19960503   ,-0.21
19960506   ,-0.03
19960507    ,0.15
19960508   ,-0.04
19960509   ,-0.07
19960510    ,0.12
19960513    ,0.45
19960514    ,0.36
19960515    ,0.25
19960516    ,0.13
19960517    ,0.00
19960520    ,0.27
19960521    ,0.16
19960522    ,0.14
19960523    ,0.18
19960524   ,-0.05
19960527   ,-0.01
19960528   ,-0.04
19960529    ,0.11
19960530    ,0.06
19960531    ,0.22
19960603    ,0.23
19960604    ,0.16
19960605    ,0.22
19960606    ,0.22
19960607    ,0.10
19960610    ,0.13
19960611   ,-0.01
19960612    ,0.05
19960613    ,0.15
19960614    ,0.01
19960617    ,0.02
19960618    ,0.09
19960619    ,0.19
19960620    ,0.33
19960621    ,0.21
19960624    ,0.13
19960625   ,-0.11
19960626    ,0.03
19960627   ,-0.04
19960628    ,0.13
19960701    ,0.17
19960702   ,-0.26
19960703    ,0.09
19960704    ,0.25
19960705   ,-0.02
19960708   ,-0.21
19960709   ,-0.06
19960710   ,-0.05
19960711   ,-0.12
19960712   ,-0.22
19960715   ,-0.10
19960716   ,-0.70
19960717   ,-0.30
19960718    ,0.21
19960719    ,0.30
19960722   ,-0.26
19960723    ,0.04
19960724   ,-0.49
19960725    ,0.33
19960726   ,-0.12
19960729    ,0.04
19960730   ,-0.04
19960731   ,-0.12
19960801   ,-0.08
19960802    ,0.52
19960805    ,0.14
19960806    ,0.23
19960807   ,-0.04
19960808   ,-0.27
19960809    ,0.17
19960812    ,0.16
19960813    ,0.09
19960814    ,0.07
19960815    ,0.30
19960816    ,0.20
19960819    ,0.22
19960820    ,0.03
19960821    ,0.12
19960822   ,-0.01
19960823   ,-0.01
19960826    ,0.23
19960827    ,0.09
19960828    ,0.20
19960829   ,-0.02
19960830   ,-0.10
19960902    ,0.31
19960903    ,0.31
19960904    ,0.11
19960905    ,0.31
19960906   ,-0.10
19960909    ,0.10
19960910   ,-0.01
19960911    ,0.47
19960912    ,0.18
19960913    ,0.24
19960916    ,0.04
19960917    ,0.13
19960918   ,-0.07
19960919    ,0.18
19960920    ,0.25
19960923    ,0.15
19960924    ,0.23
19960925    ,0.00
19960926    ,0.15
19960927    ,0.06
19960930    ,0.30
19961001    ,0.23
19961002    ,0.13
19961003   ,-0.05
19961004    ,0.19
19961007    ,0.47
19961008    ,0.24
19961009   ,-0.14
19961010    ,0.08
19961011    ,0.43
19961014    ,0.35
19961015    ,0.31
19961016    ,0.21
19961017    ,0.39
19961018    ,0.19
19961021    ,0.45
19961022   ,-0.04
19961023    ,0.11
19961024   ,-0.18
19961025   ,-0.19
19961028    ,0.18
19961029   ,-0.12
19961030    ,0.13
19961031    ,0.04
19961101   ,-0.12
19961104   ,-0.14
19961105   ,-0.14
19961106    ,0.31
19961107    ,0.15
19961108    ,0.17
19961111   ,-0.01
19961112    ,0.26
19961113    ,0.18
19961114   ,-0.20
19961115   ,-0.06
19961118    ,0.07
19961119   ,-0.16
19961120   ,-0.01
19961121   ,-0.04
19961122    ,0.10
19961125    ,0.41
19961126    ,0.32
19961127    ,0.08
19961128   ,-0.03
19961129    ,0.05
19961202    ,0.11
19961203   ,-0.20
19961204    ,0.01
19961205   ,-0.10
19961206   ,-0.14
19961209    ,0.20
19961210    ,0.34
19961211   ,-0.35
19961212    ,0.17
19961213   ,-0.27
19961216    ,0.24
19961217    ,0.10
19961218    ,0.60
19961219    ,0.41
19961220    ,0.36
19961223   ,-0.01
19961224    ,0.05
19961225    ,0.00
19961226    ,0.01
19961227    ,0.28
19961230   ,-0.04
19961231    ,0.14
19970101   ,-0.02
19970102   ,-0.28
19970103    ,0.26
19970106    ,0.33
19970107    ,0.21
19970108    ,0.53
19970109   ,-0.03
19970110   ,-0.28
19970113    ,0.05
19970114    ,0.19
19970115    ,0.18
19970116    ,0.14
19970117    ,0.09
19970120    ,0.23
19970121    ,0.06
19970122   ,-0.58
19970123   ,-0.67
19970124   ,-0.47
19970127    ,0.12
19970128    ,0.00
19970129   ,-0.22
19970130   ,-0.37
19970131   ,-0.13
19970203    ,0.12
19970204    ,0.06
19970205    ,0.29
19970206   ,-0.10
19970207   ,-0.12
19970210   ,-0.23
19970211   ,-0.16
19970212    ,0.15
19970213    ,0.16
19970214    ,0.00
19970217    ,0.10
19970218   ,-0.15
19970219    ,0.31
19970220   ,-0.17
19970221   ,-0.26
19970224   ,-0.22
19970225   ,-0.14
19970226    ,0.00
19970227   ,-0.01
19970228   ,-0.23
19970303   ,-0.22
19970304    ,0.32
19970305   ,-0.33
19970306    ,0.30
19970307   ,-0.06
19970310    ,0.11
19970311    ,0.10
19970312   ,-0.37
19970313    ,0.31
19970314   ,-0.36
19970317   ,-0.14
19970318   ,-0.52
19970319   ,-0.16
19970320   ,-0.59
19970321    ,0.50
19970324   ,-0.26
19970325    ,0.50
19970326    ,0.29
19970327    ,0.01
19970328    ,0.02
19970331    ,0.05
19970401   ,-0.71
19970402   ,-0.28
19970403   ,-0.20
19970404    ,0.25
19970407    ,0.75
19970408    ,0.26
19970409    ,0.25
19970410    ,0.22
19970411   ,-0.17
19970414   ,-0.37
19970415    ,0.13
19970416    ,0.11
19970417    ,0.20
19970418    ,0.26
19970421    ,0.21
19970422    ,0.55
19970423    ,0.42
19970424    ,0.20
19970425   ,-0.24
19970428    ,0.09
19970429    ,0.31
19970430    ,0.17
19970501   ,-0.01
19970502    ,0.11
19970505    ,0.02
19970506    ,0.17
19970507   ,-0.05
19970508    ,0.35
19970509    ,0.28
19970512    ,0.17
19970513    ,0.15
19970514    ,0.31
19970515    ,0.14
19970516    ,0.08
19970519   ,-0.14
19970520   ,-0.25
19970521    ,0.42
19970522    ,0.18
19970523    ,0.08
19970526    ,0.51
19970527    ,0.16
19970528    ,0.20
19970529   ,-0.09
19970530    ,0.00
19970602   ,-0.26
19970603    ,0.10
19970604   ,-0.01
19970605    ,0.01
19970606    ,0.31
19970609    ,0.34
19970610    ,0.31
19970611    ,0.07
19970612   ,-0.33
19970613   ,-0.06
19970616   ,-0.22
19970617   ,-0.28
19970618   ,-0.13
19970619    ,0.11
19970620   ,-0.23
19970623   ,-0.08
19970624    ,0.26
19970625    ,0.62
19970626    ,0.29
19970627   ,-0.08
19970630    ,0.11
19970701    ,0.51
19970702    ,0.22
19970703    ,1.02
19970704    ,0.33
19970707   ,-0.09
19970708    ,0.21
19970709    ,0.40
19970710   ,-0.25
19970711    ,0.24
19970714    ,0.54
19970715    ,0.02
19970716    ,0.36
19970717   ,-0.31
19970718   ,-0.54
19970721   ,-0.48
19970722    ,0.42
19970723    ,0.22
19970724   ,-0.23
19970725    ,0.02
19970728   ,-0.09
19970729   ,-0.53
19970730    ,0.23
19970731   ,-0.14
19970801    ,0.29
19970804    ,0.02
19970805    ,0.41
19970806    ,0.09
19970807   ,-0.18
19970808   ,-0.60
19970811   ,-0.60
19970812   ,-0.21
19970813   ,-0.49
19970814   ,-0.18
19970815   ,-0.75
19970818   ,-0.21
19970819    ,0.79
19970820    ,1.09
19970821    ,0.06
19970822   ,-1.23
19970825   ,-0.01
19970826   ,-0.29
19970827   ,-0.10
19970828   ,-0.34
19970829   ,-0.46
19970901    ,0.37
19970902    ,0.96
19970903    ,0.52
19970904   ,-0.08
19970905    ,0.18
19970908    ,0.09
19970909   ,-0.26
19970910   ,-0.23
19970911   ,-0.36
19970912   ,-0.08
19970915    ,0.06
19970916    ,0.04
19970917    ,0.58
19970918    ,0.01
19970919    ,0.21
19970922    ,0.36
19970923    ,0.04
19970924    ,0.15
19970925    ,0.29
19970926    ,0.63
19970929    ,0.33
19970930    ,0.23
19971001    ,0.31
19971002   ,-0.09
19971003    ,0.54
19971006    ,0.07
19971007   ,-0.32
19971008   ,-0.09
19971009   ,-0.74
19971010    ,0.24
19971013    ,0.14
19971014    ,0.42
19971015   ,-0.11
19971016   ,-0.05
19971017   ,-0.43
19971020   ,-0.18
19971021    ,0.72
19971022    ,0.12
19971023   ,-0.52
19971024    ,0.20
19971027   ,-1.38
19971028   ,-0.66
19971029    ,1.92
19971030   ,-0.79
19971031    ,0.10
19971103    ,0.74
19971104   ,-0.05
19971105   ,-0.08
19971106   ,-0.45
19971107   ,-0.28
19971110   ,-0.33
19971111   ,-0.47
19971112   ,-0.56
19971113   ,-0.15
19971114   ,-0.08
19971117    ,0.41
19971118    ,0.33
19971119    ,0.14
19971120    ,0.54
19971121    ,0.40
19971124   ,-0.69
19971125   ,-0.20
19971126   ,-0.19
19971127    ,0.17
19971128   ,-0.37
19971201    ,0.45
19971202    ,0.29
19971203   ,-0.16
19971204    ,0.50
19971205    ,0.60
19971208    ,0.53
19971209    ,0.27
19971210    ,0.29
19971211    ,0.00
19971212    ,0.37
19971215    ,0.15
19971216    ,0.86
19971217    ,0.36
19971218    ,0.23
19971219   ,-0.28
19971222    ,0.18
19971223    ,0.00
19971224   ,-0.20
19971225   ,-0.01
19971226   ,-0.12
19971229    ,0.01
19971230   ,-0.21
19971231   ,-0.09
19980101    ,0.10
19980102   ,-0.19
19980105    ,0.23
19980106   ,-0.14
19980107    ,0.56
19980108   ,-0.02
19980109   ,-0.23
19980112   ,-0.27
19980113    ,0.34
19980114    ,0.21
19980115    ,0.10
19980116    ,0.92
19980119    ,0.45
19980120    ,0.08
19980121    ,0.00
19980122    ,0.09
19980123    ,0.01
19980126   ,-0.03
19980127    ,0.08
19980128    ,0.23
19980129    ,0.22
19980130    ,0.00
19980202    ,0.58
19980203   ,-0.24
19980204    ,0.24
19980205    ,0.06
19980206   ,-0.15
19980209   ,-0.16
19980210    ,0.65
19980211   ,-0.06
19980212   ,-0.12
19980213    ,0.45
19980216    ,0.26
19980217    ,0.15
19980218   ,-0.31
19980219    ,0.07
19980220   ,-0.11
19980223   ,-0.16
19980224   ,-0.49
19980225    ,0.19
19980226   ,-0.49
19980227   ,-0.25
19980302   ,-0.02
19980303   ,-0.09
19980304   ,-0.75
19980305   ,-0.15
19980306    ,0.21
19980309   ,-0.09
19980310    ,0.30
19980311    ,0.11
19980312    ,0.11
19980313    ,0.26
19980316    ,0.17
19980317   ,-0.07
19980318   ,-0.36
19980319    ,0.29
19980320    ,0.26
19980323   ,-0.03
19980324    ,0.18
19980325    ,0.02
19980326    ,0.08
19980327    ,0.03
19980330    ,0.40
19980331    ,0.72
19980401    ,0.79
19980402    ,0.57
19980403   ,-0.07
19980406    ,0.68
19980407    ,0.33
19980408   ,-1.09
19980409    ,0.06
19980410    ,0.31
19980413   ,-0.01
19980414    ,0.91
19980415    ,0.16
19980416   ,-0.49
19980417   ,-0.04
19980420    ,0.24
19980421    ,0.32
19980422   ,-0.42
19980423   ,-0.97
19980424   ,-0.88
19980427   ,-2.02
19980428    ,1.04
19980429   ,-0.24
19980430    ,0.74
19980501    ,0.22
19980504    ,1.42
19980505   ,-0.16
19980506   ,-0.33
19980507   ,-0.27
19980508    ,0.01
19980511   ,-0.04
19980512   ,-0.35
19980513    ,0.05
19980514   ,-0.38
19980515    ,0.04
19980518   ,-0.55
19980519    ,0.78
19980520    ,0.46
19980521    ,0.46
19980522    ,0.26
19980525    ,0.33
19980526   ,-0.02
19980527   ,-0.62
19980528    ,0.02
19980529    ,0.01
19980601   ,-0.51
19980602    ,0.42
19980603    ,0.04
19980604    ,0.07
19980605    ,0.40
19980608    ,0.69
19980609    ,0.14
19980610   ,-0.17
19980611    ,0.04
19980612   ,-0.20
19980615   ,-0.77
19980616    ,0.65
19980617    ,0.28
19980618    ,0.14
19980619    ,0.26
19980622   ,-0.47
19980623   ,-0.05
19980624   ,-0.06
19980625    ,0.36
19980626    ,0.22
19980629    ,0.35
19980630    ,0.20
19980701    ,0.45
19980702    ,0.23
19980703    ,0.67
19980706    ,0.84
19980707    ,0.85
19980708    ,0.22
19980709    ,0.27
19980710    ,0.23
19980713    ,0.41
19980714    ,0.55
19980715    ,0.23
19980716    ,0.07
19980717    ,0.37
19980720    ,0.27
19980721    ,0.00
19980722   ,-0.05
19980723    ,0.27
19980724    ,0.32
19980727    ,0.27
19980728    ,0.73
19980729   ,-0.17
19980730    ,0.11
19980731    ,0.25
19980803   ,-0.56
19980804    ,0.10
19980805   ,-0.22
19980806    ,0.31
19980807    ,0.36
19980810   ,-0.06
19980811   ,-0.96
19980812    ,0.83
19980813   ,-0.11
19980814   ,-0.06
19980817   ,-0.06
19980818    ,0.47
19980819    ,0.57
19980820    ,0.08
19980821   ,-0.67
19980824   ,-0.50
19980825    ,0.54
19980826   ,-0.15
19980827   ,-1.19
19980828   ,-0.41
19980831   ,-0.34
19980901   ,-1.11
19980902    ,1.46
19980903   ,-0.54
19980904   ,-1.63
19980907   ,-0.44
19980908    ,1.48
19980909    ,0.15
19980910   ,-0.40
19980911   ,-1.42
19980914    ,1.09
19980915    ,0.56
19980916    ,0.77
19980917   ,-0.81
19980918    ,0.28
19980921   ,-1.18
19980922    ,0.06
19980923   ,-0.19
19980924    ,0.72
19980925   ,-0.75
19980928   ,-0.21
19980929    ,0.02
19980930   ,-0.21
19981001   ,-0.88
19981002   ,-1.53
19981005   ,-0.40
19981006   ,-0.11
19981007    ,0.54
19981008   ,-1.16
19981009   ,-1.19
19981012   ,-0.02
19981013    ,0.82
19981014    ,1.35
19981015    ,1.38
19981016    ,0.37
19981019   ,-0.40
19981020   ,-0.97
19981021   ,-0.20
19981022    ,0.40
19981023    ,0.71
19981026    ,0.12
19981027   ,-0.41
19981028   ,-0.23
19981029   ,-0.16
19981030   ,-0.18
19981102    ,0.55
19981103    ,0.04
19981104   ,-0.70
19981105    ,0.80
19981106    ,0.20
19981109    ,0.32
19981110    ,0.91
19981111    ,0.03
19981112    ,0.39
19981113   ,-0.39
19981116    ,1.10
19981117   ,-0.02
19981118    ,0.16
19981119    ,0.56
19981120    ,0.10
19981123   ,-0.83
19981124    ,0.05
19981125   ,-0.04
19981126    ,0.02
19981127    ,0.28
19981130    ,0.37
19981201    ,0.06
19981202    ,0.92
19981203    ,0.67
19981204    ,0.69
19981207    ,0.65
19981208    ,0.41
19981209    ,0.19
19981210    ,0.38
19981211   ,-0.38
19981214    ,0.22
19981215    ,0.73
19981216   ,-0.02
19981217   ,-0.18
19981218   ,-0.03
19981221    ,0.30
19981222   ,-0.03
19981223   ,-0.25
19981224    ,0.07
19981225    ,0.01
19981228    ,0.09
19981229   ,-0.21
19981230    ,0.31
19981231    ,0.07
19990101    ,0.00
19990104    ,2.41
19990105    ,0.99
19990106   ,-0.62
19990107    ,0.03
19990108   ,-0.40
19990111   ,-0.45
19990112   ,-0.14
19990113   ,-0.04
19990114    ,1.69
19990115    ,0.61
19990118    ,1.70
19990119    ,0.26
19990120    ,1.02
19990121   ,-0.15
19990122   ,-0.28
19990125   ,-0.23
19990126    ,0.66
19990127   ,-0.46
19990128    ,0.37
19990129   ,-0.16
19990201   ,-0.56
19990202   ,-0.89
19990203   ,-0.35
19990204   ,-0.51
19990205   ,-0.86
19990208   ,-0.50
19990209   ,-0.51
19990210    ,0.33
19990211    ,1.06
19990212    ,0.05
19990215    ,0.25
19990216   ,-1.08
19990217    ,0.72
19990218    ,0.06
19990219    ,0.14
19990222    ,0.40
19990223   ,-0.64
19990224    ,0.94
19990225    ,0.17
19990226   ,-0.12
19990301    ,0.19
19990302   ,-0.42
19990303   ,-0.61
19990304   ,-1.35
19990305   ,-0.27
19990308    ,0.07
19990309    ,0.13
19990310   ,-0.47
19990311   ,-1.70
19990312   ,-0.73
19990315    ,0.00
19990316   ,-0.53
19990317   ,-0.50
19990318   ,-0.45
19990319   ,-0.24
19990322   ,-0.41
19990323   ,-0.23
19990324   ,-0.51
19990325   ,-0.27
19990326   ,-0.15
19990329   ,-0.79
19990330    ,0.25
19990331    ,0.02
19990401   ,-0.34
19990402    ,0.47
19990405   ,-0.45
19990406    ,0.29
19990407    ,0.96
19990408    ,0.61
19990409   ,-0.69
19990412   ,-0.04
19990413    ,0.11
19990414   ,-0.75
19990415   ,-2.26
19990416   ,-2.31
19990419   ,-1.70
19990420   ,-0.29
19990421   ,-0.44
19990422    ,0.04
19990423    ,0.12
19990426    ,0.02
19990427    ,0.69
19990428    ,0.12
19990429   ,-0.25
19990430    ,0.00
19990503    ,0.54
19990504   ,-0.48
19990505   ,-0.15
19990506    ,0.26
19990507   ,-0.61
19990510    ,0.20
19990511    ,0.49
19990512    ,0.47
19990513    ,0.19
19990514    ,0.31
19990517   ,-0.09
19990518    ,0.54
19990519    ,0.17
19990520    ,0.49
19990521    ,0.04
19990524   ,-0.40
19990525    ,0.17
19990526   ,-0.01
19990527    ,0.25
19990528    ,0.19
19990531    ,0.31
19990601    ,0.84
19990602    ,0.23
19990603    ,0.00
19990604   ,-0.20
19990607    ,0.51
19990608    ,0.03
19990609    ,0.08
19990610   ,-0.04
19990611    ,0.06
19990614    ,0.32
19990615   ,-0.06
19990616    ,0.07
19990617    ,0.07
19990618    ,0.02
19990621    ,0.12
19990622    ,0.34
19990623    ,0.06
19990624   ,-0.13
19990625   ,-0.07
19990628    ,0.12
19990629   ,-0.49
19990630    ,0.07
19990701    ,0.77
19990702   ,-0.05
19990705    ,0.52
19990706    ,0.16
19990707    ,0.48
19990708   ,-0.03
19990709   ,-0.40
19990712    ,0.55
19990713    ,0.07
19990714    ,0.16
19990715    ,0.46
19990716    ,0.26
19990719   ,-0.24
19990720   ,-0.33
19990721    ,0.01
19990722    ,0.43
19990723    ,0.58
19990726    ,0.71
19990727    ,0.03
19990728    ,0.32
19990729    ,0.32
19990730    ,0.27
19990802    ,0.19
19990803    ,0.28
19990804    ,0.03
19990805    ,0.31
19990806    ,0.53
19990809    ,0.97
19990810   ,-0.14
19990811   ,-0.23
19990812    ,0.29
19990813    ,0.09
19990816   ,-0.18
19990817    ,0.01
19990818    ,0.60
19990819   ,-0.50
19990820    ,0.30
19990823    ,0.78
19990824   ,-0.30
19990825    ,0.64
19990826   ,-0.44
19990827    ,0.13
19990830    ,0.57
19990831    ,0.64
19990901    ,0.32
19990902   ,-0.08
19990903   ,-0.07
19990906    ,1.28
19990907    ,0.15
19990908    ,0.12
19990909    ,0.30
19990910    ,0.44
19990913    ,1.05
19990914    ,0.16
19990915    ,0.40
19990916    ,0.13
19990917   ,-0.09
19990920   ,-0.34
19990921   ,-1.32
19990922    ,0.26
19990923   ,-0.37
19990924   ,-1.20
19990927   ,-1.17
19990928    ,0.68
19990929    ,0.27
19990930    ,0.67
19991001    ,0.09
19991004    ,0.54
19991005    ,1.08
19991006    ,0.88
19991007    ,0.26
19991008    ,0.20
19991011    ,0.73
19991012    ,1.09
19991013   ,-0.31
19991014   ,-0.64
19991015   ,-0.93
19991018   ,-1.21
19991019    ,0.07
19991020    ,1.12
19991021    ,0.99
19991022    ,0.58
19991025    ,0.37
19991026    ,0.00
19991027   ,-0.53
19991028    ,0.11
19991029    ,0.40
19991101    ,0.91
19991102    ,0.01
19991103    ,0.35
19991104    ,0.57
19991105    ,0.96
19991108    ,0.85
19991109    ,0.70
19991110    ,1.06
19991111    ,0.99
19991112    ,0.18
19991115    ,0.76
19991116   ,-0.14
19991117    ,0.61
19991118    ,1.20
19991119    ,0.45
19991122    ,0.13
19991123   ,-0.31
19991124   ,-0.34
19991125    ,1.53
19991126    ,0.89
19991129    ,0.74
19991130   ,-0.30
19991201    ,0.83
19991202    ,0.90
19991203    ,1.48
19991206    ,0.67
19991207    ,0.17
19991208    ,0.17
19991209    ,0.16
19991210    ,0.46
19991213    ,0.61
19991214    ,0.36
19991215   ,-1.73
19991216   ,-0.62
19991217    ,0.49
19991220   ,-0.30
19991221   ,-0.35
19991222   ,-0.07
19991223   ,-1.50
19991224   ,-0.37
19991227    ,1.00
19991228    ,1.15
19991229    ,0.69
19991230    ,1.10
19991231    ,0.15
20000103    ,1.29
20000104   ,-1.02
20000105   ,-2.59
20000106   ,-1.45
20000107    ,0.79
20000110    ,1.29
20000111   ,-0.24
20000112    ,0.34
20000113    ,1.22
20000114    ,1.69
20000117    ,2.47
20000118   ,-0.50
20000119   ,-0.34
20000120    ,0.77
20000121    ,0.46
20000124    ,1.01
20000125    ,0.05
20000126    ,0.75
20000127    ,0.83
20000128    ,0.97
20000131   ,-0.36
20000201    ,1.74
20000202    ,1.74
20000203    ,1.77
20000204    ,2.47
20000207    ,0.61
20000208    ,1.49
20000209    ,0.69
20000210   ,-0.73
20000211    ,1.20
20000214   ,-0.11
20000215   ,-1.58
20000216   ,-1.22
20000217   ,-0.29
20000218    ,0.49
20000221   ,-0.99
20000222    ,0.34
20000223    ,0.88
20000224    ,2.10
20000225    ,1.66
20000228   ,-1.98
20000229   ,-0.53
20000301    ,1.06
20000302    ,2.43
20000303    ,1.70
20000306    ,0.92
20000307   ,-0.52
20000308   ,-1.40
20000309    ,0.98
20000310    ,1.71
20000313   ,-2.02
20000314   ,-1.92
20000315   ,-5.48
20000316   ,-3.86
20000317    ,3.04
20000320    ,1.97
20000321   ,-3.43
20000322   ,-1.88
20000323   ,-1.27
20000324    ,0.31
20000327    ,0.50
20000328    ,0.01
20000329   ,-0.78
20000330   ,-4.15
20000331   ,-0.94
20000403   ,-4.54
20000404   ,-4.43
20000405   ,-1.25
20000406    ,6.05
20000407    ,3.08
20000410    ,0.19
20000411   ,-4.73
20000412   ,-1.81
20000413   ,-1.79
20000414   ,-3.12
20000417   ,-0.65
20000418    ,1.18
20000419    ,2.14
20000420    ,0.14
20000421    ,0.24
20000424   ,-0.10
20000425   ,-1.66
20000426    ,1.46
20000427   ,-0.60
20000428    ,2.44
20000501    ,0.13
20000502    ,2.23
20000503   ,-1.50
20000504   ,-0.35
20000505    ,0.56
20000508   ,-0.82
20000509   ,-2.28
20000510   ,-2.76
20000511    ,0.00
20000512    ,1.44
20000515   ,-1.04
20000516    ,1.38
20000517   ,-0.97
20000518   ,-0.72
20000519   ,-3.98
20000522   ,-3.36
20000523    ,0.30
20000524   ,-2.46
20000525    ,2.84
20000526    ,0.14
20000529    ,1.03
20000530    ,1.65
20000531    ,1.35
20000601    ,1.74
20000602    ,3.90
20000605   ,-0.63
20000606   ,-0.74
20000607   ,-1.04
20000608    ,0.94
20000609    ,0.23
20000612    ,0.09
20000613   ,-0.85
20000614    ,0.82
20000615   ,-1.09
20000616   ,-0.05
20000619   ,-0.17
20000620    ,0.88
20000621   ,-0.08
20000622   ,-0.56
20000623   ,-0.05
20000626   ,-0.79
20000627   ,-0.32
20000628   ,-0.09
20000629   ,-2.22
20000630    ,0.98
20000703    ,0.49
20000704    ,0.27
20000705    ,0.04
20000706   ,-0.43
20000707    ,1.11
20000710   ,-0.02
20000711   ,-0.61
20000712   ,-0.04
20000713    ,1.07
20000714    ,0.79
20000717    ,1.04
20000718   ,-0.63
20000719   ,-0.38
20000720    ,0.34
20000721   ,-0.71
20000724    ,0.15
20000725   ,-0.14
20000726    ,0.05
20000727   ,-1.37
20000728   ,-1.52
20000731    ,0.51
20000801   ,-0.38
20000802   ,-1.23
20000803   ,-1.81
20000804    ,0.89
20000807   ,-0.17
20000808   ,-0.08
20000809    ,1.17
20000810    ,0.75
20000811   ,-1.04
20000814    ,0.23
20000815   ,-0.04
20000816    ,0.57
20000817    ,0.02
20000818   ,-0.12
20000821   ,-0.05
20000822    ,0.08
20000823   ,-0.38
20000824    ,0.90
20000825    ,1.09
20000828    ,0.60
20000829    ,0.69
20000830    ,0.86
20000831    ,0.94
20000901    ,2.03
20000904    ,1.08
20000905   ,-1.17
20000906   ,-1.11
20000907    ,0.35
20000908   ,-0.80
20000911    ,0.56
20000912    ,0.34
20000913   ,-0.59
20000914    ,0.69
20000915   ,-0.22
20000918   ,-0.71
20000919   ,-0.27
20000920    ,0.50
20000921   ,-0.97
20000922   ,-1.28
20000925    ,1.17
20000926   ,-0.81
20000927   ,-0.33
20000928   ,-0.85
20000929   ,-0.21
20001002    ,0.34
20001003    ,0.80
20001004   ,-1.16
20001005    ,0.24
20001006   ,-2.19
20001009   ,-1.89
20001010   ,-0.14
20001011   ,-2.24
20001012    ,0.29
20001013    ,1.04
20001016    ,0.30
20001017   ,-0.22
20001018   ,-1.76
20001019    ,2.23
20001020    ,0.06
20001023    ,0.48
20001024    ,1.04
20001025   ,-0.76
20001026   ,-0.36
20001027   ,-0.02
20001030   ,-0.56
20001031   ,-0.46
20001101    ,0.76
20001102    ,1.05
20001103    ,0.61
20001106    ,0.46
20001107   ,-0.69
20001108   ,-0.06
20001109    ,0.30
20001110   ,-0.19
20001113   ,-0.35
20001114    ,0.01
20001115    ,0.52
20001116    ,0.02
20001117    ,0.23
20001120    ,0.11
20001121   ,-0.37
20001122   ,-0.66
20001123   ,-0.14
20001124    ,0.11
20001127    ,0.51
20001128    ,0.54
20001129   ,-0.20
20001130   ,-0.03
20001201   ,-1.01
20001204   ,-1.00
20001205    ,0.18
20001206   ,-0.86
20001207   ,-0.07
20001208   ,-0.64
20001211   ,-0.94
20001212    ,0.04
20001213    ,1.25
20001214    ,0.49
20001215    ,1.07
20001218    ,0.84
20001219    ,0.73
20001220    ,1.08
20001221    ,0.45
20001222    ,0.62
20001225   ,-0.04
20001226    ,0.04
20001227    ,1.00
20001228    ,0.87
20001229   ,-0.63
20010101    ,0.00
20010102    ,0.52
20010103    ,0.43
20010104   ,-2.53
20010105   ,-0.78
20010108    ,1.03
20010109    ,0.07
20010110   ,-0.76
20010111   ,-1.61
20010112   ,-2.03
20010115    ,0.51
20010116    ,1.16
20010117   ,-1.76
20010118   ,-0.84
20010119   ,-1.50
20010122    ,0.93
20010123    ,0.97
20010124   ,-0.68
20010125    ,0.51
20010126    ,1.12
20010129    ,0.22
20010130   ,-1.18
